Order ID,Region,Amount,Profit,Quantity, Unit_Price , Unit_Cost ,Category,Sub-Category,PaymentMode,Order Date,CustomerName,State,City,Month,Revenue
B-26776,North,9726,1275,5,267.22,152.75,Electronics,Electronic Games,UPI,27-06-2023,David Padilla,Florida,Miami,June,1336.1
B-26776,West,9726,1275,5,"4,209.44","3,816.39",Electronics,Electronic Games,UPI,27-12-2024,Connor Morgan,Illinois,Chicago,December,21047.2
B-26776,South,9726,1275,5,371.4,261.56,Electronics,Electronic Games,UPI,25-07-2021,Robert Stone,New York,Buffalo,July,1857
B-26776,South,4975,1330,14,"4,467.75","4,330.03",Electronics,Printers,UPI,27-06-2023,David Padilla,Florida,Miami,June,62548.5
B-26776,East,4975,1330,14,692.71,637.37,Electronics,Printers,UPI,27-12-2024,Connor Morgan,Illinois,Chicago,December,9697.94
B-26776,West,4975,1330,14,"1,106.51",900.79,Electronics,Printers,UPI,25-07-2021,Robert Stone,New York,Buffalo,July,15491.14
B-26942,West,1525,185,12,"2,624.09","2,408.81",Office Supplies,Pens,Debit Card,11-05-2024,John Fields,Florida,Orlando,May,31489.08
B-26942,South,1525,185,12,"3,964.65","3,702.51",Office Supplies,Pens,Debit Card,09-10-2021,Clayton Smith,Florida,Miami,October,47575.8
B-26640,South,883,117,10,"1,095.45",738.06,Electronics,Laptops,EMI,18-11-2022,Richard Kelley,California,Los Angeles,November,10954.5
B-26640,West,8127,3551,16,"2,682.34","2,228.35",Furniture,Tables,Credit Card,18-11-2022,Richard Kelley,California,Los Angeles,November,42917.44
B-25890,North,2516,734,19,"2,517.60","2,440.11",Furniture,Chairs,UPI,12-11-2023,Jacqueline Hubbard,New York,New York City,November,47834.4
B-25102,West,2975,462,14,"1,137.44","1,100.81",Office Supplies,Pens,Credit Card,23-03-2020,Jessica Anderson,New York,New York City,March,15924.16
B-25426,West,6851,2812,1,641.09,622.01,Office Supplies,Markers,Debit Card,04-05-2020,Mary Taylor,Florida,Orlando,May,641.09
B-25426,South,7626,1046,15,"4,270.65","4,190.28",Furniture,Sofas,Credit Card,04-05-2020,Mary Taylor,Florida,Orlando,May,64059.75
B-25426,South,1023,78,9,"2,869.60","2,537.20",Furniture,Tables,UPI,04-05-2020,Mary Taylor,Florida,Orlando,May,25826.4
B-25238,North,7600,1098,10,487.65,121.19,Office Supplies,Pens,UPI,09-11-2023,Walter Crawford,Illinois,Springfield,November,4876.5
B-25238,North,7501,262,18,"4,420.15","4,024.76",Office Supplies,Paper,COD,09-11-2023,Walter Crawford,Illinois,Springfield,November,79562.7
B-25051,East,725,133,6,"5,034.35","4,904.93",Office Supplies,Paper,Credit Card,30-12-2024,Lawrence Robinson,New York,Rochester,December,30206.1
B-25051,West,7201,2685,2,"3,209.22","3,049.33",Furniture,Tables,Credit Card,30-12-2024,Lawrence Robinson,New York,Rochester,December,6418.44
B-26510,South,1629,265,1,"2,790.10","2,543.36",Office Supplies,Paper,UPI,11-02-2025,Douglas Pennington,Texas,Dallas,February,2790.1
B-26510,North,1629,265,1,"4,439.12","4,398.16",Office Supplies,Paper,UPI,23-01-2024,Ricardo Andrews,California,San Diego,January,4439.12
B-25104,East,8971,2971,19,"5,074.42","4,764.96",Office Supplies,Binders,Debit Card,28-11-2020,Paul Raymond,California,San Diego,November,96413.98
B-25104,East,2939,894,20,"4,276.99","3,784.96",Office Supplies,Binders,COD,28-11-2020,Paul Raymond,California,San Diego,November,85539.8
B-25553,South,9380,414,11,"2,441.79","2,254.99",Electronics,Phones,UPI,30-05-2024,Karen Johnson,New York,Rochester,May,26859.69
B-25553,South,8558,1644,18,"3,360.40","2,981.50",Office Supplies,Binders,Credit Card,30-05-2024,Karen Johnson,New York,Rochester,May,60487.2
